date,low,open,close
2026-06-23,71.0,78.0,76.0
2026-06-16,71.0,78.0,76.0
2026-06-09,70.0,77.0,75.0
2026-06-02,70.0,77.0,75.0
2026-05-26,70.0,77.0,75.0
2026-05-19,72.0,79.0,77.0
2026-05-12,72.0,79.0,77.0
2026-04-28,78.5,82.0,80.0
2026-04-21,78.5,82.0,80.0
2026-04-14,78.5,82.0,80.0
2026-04-07,78.5,82.0,80.0
2026-03-31,78.5,82.0,80.0
2026-03-24,78.5,82.0,80.0
2026-03-17,78.5,82.0,80.0
2026-03-10,69.5,73.0,71.0
2026-03-03,69.5,73.0,71.0
2026-02-24,59.5,63.0,61.0
2026-02-10,59.5,63.0,61.0
2026-02-03,59.5,63.0,61.0
2026-01-27,56.5,60.0,58.0
2026-01-20,56.5,60.0,58.0
2026-01-13,56.5,60.0,58.0
2026-01-06,43.5,46.4,45.0
2025-12-30,43.5,46.4,45.0
