date,low,open,close
2026-06-23,20.8,22.3,21.0
2026-06-16,20.8,22.3,21.0
2026-06-09,20.8,22.3,21.0
2026-06-02,20.8,22.3,21.0
2026-05-26,20.8,22.3,21.0
2026-05-19,20.8,22.3,21.0
2026-05-12,20.8,22.3,21.0
2026-04-28,20.8,22.3,21.0
2026-04-21,20.8,22.3,21.0
2026-04-14,20.8,22.3,21.0
2026-04-07,20.8,22.3,21.0
2026-03-31,20.8,22.3,21.0
2026-03-24,20.8,22.3,21.0
2026-03-17,20.8,22.3,21.0
2026-03-10,20.8,22.3,21.0
2026-03-03,18.8,20.3,19.0
2026-02-24,15.8,17.3,16.0
2026-02-10,15.8,17.3,16.0
2026-02-03,15.8,17.3,16.0
2026-01-27,15.8,17.3,16.0
2026-01-20,12.8,14.3,13.0
2026-01-13,10.8,12.3,11.0
2026-01-06,10.8,12.3,11.0
2025-12-30,9.8,11.3,10.0
