date,low,open,close
2026-06-23,89.5,93.0,90.0
2026-06-16,89.5,93.0,90.0
2026-06-09,89.5,93.0,90.0
2026-06-02,89.5,93.0,90.0
2026-05-26,89.5,93.0,90.0
2026-05-19,89.5,93.0,90.0
2026-05-12,89.5,93.0,90.0
2026-04-28,89.5,93.0,90.0
2026-04-21,89.5,93.0,90.0
2026-04-14,89.5,93.0,90.0
2026-04-07,89.5,93.0,90.0
2026-03-31,89.5,93.0,90.0
2026-03-24,89.5,93.0,90.0
2026-03-17,89.5,93.0,90.0
2026-03-10,89.5,93.0,90.0
2026-03-03,89.5,93.0,90.0
2026-02-24,71.5,75.0,72.0
2026-02-10,71.5,75.0,72.0
2026-02-03,71.5,75.0,72.0
2026-01-27,71.5,75.0,72.0
2026-01-20,66.5,71.0,68.0
2026-01-13,58.5,63.0,60.0
2026-01-06,58.5,63.0,60.0
2025-12-30,58.5,63.0,60.0
