date,low,open,close
2026-06-25,11.0,11.0,11.0
2026-06-24,11.0,11.0,11.0
2026-06-23,11.0,11.0,11.0
2026-06-22,11.0,11.0,11.0
2026-06-18,11.0,11.0,11.0
2026-06-17,11.0,11.0,11.0
2026-06-16,11.0,11.0,11.0
2026-06-15,11.0,11.0,11.0
2026-06-12,11.0,11.0,11.0
2026-06-11,11.0,11.0,11.0
2026-06-10,11.0,11.0,11.0
2026-06-09,11.0,11.0,11.0
2026-06-08,11.0,11.0,11.0
2026-06-05,11.0,11.0,11.0
2026-06-04,11.0,11.0,11.0
2026-06-03,11.0,11.0,11.0
2026-06-02,11.0,11.0,11.0
2026-06-01,11.0,11.0,11.0
2026-05-29,11.0,11.0,11.0
2026-05-28,11.0,11.0,11.0
2026-05-27,11.0,11.0,11.0
2026-05-26,11.0,11.0,11.0
2026-05-25,11.0,11.0,11.0
2026-05-22,11.0,11.0,11.0
2026-05-21,11.0,11.0,11.0
2026-05-20,11.0,11.0,11.0
2026-05-19,11.0,11.0,11.0
2026-05-18,11.0,11.0,11.0
2026-05-15,11.0,11.0,11.0
2026-05-14,11.0,11.0,11.0
2026-05-13,11.0,11.0,11.0
2026-05-12,11.0,11.0,11.0
2026-05-11,11.0,11.0,11.0
2026-05-09,11.0,11.0,11.0
2026-05-08,11.0,11.0,11.0
2026-05-07,11.0,11.0,11.0
2026-05-06,11.0,11.0,11.0
2026-04-30,11.0,11.0,11.0
2026-04-29,11.0,11.0,11.0
2026-04-28,11.0,11.0,11.0
2026-04-27,11.0,11.0,11.0
2026-04-24,11.0,11.0,11.0
2026-04-23,11.0,11.0,11.0
2026-04-22,11.0,11.0,11.0
2026-04-21,11.0,11.0,11.0
2026-04-20,11.0,11.0,11.0
2026-04-17,11.0,11.0,11.0
2026-04-16,11.0,11.0,11.0
2026-04-15,11.0,11.0,11.0
2026-04-14,11.0,11.0,11.0
2026-04-13,11.0,11.0,11.0
2026-04-10,11.0,11.0,11.0
2026-04-09,11.0,11.0,11.0
2026-04-08,11.0,11.0,11.0
2026-04-07,11.0,11.0,11.0
2026-04-03,11.0,11.0,11.0
2026-04-02,11.0,11.0,11.0
2026-04-01,11.0,11.0,11.0
2026-03-31,11.0,11.0,11.0
2026-03-30,11.0,11.0,11.0
2026-03-27,11.0,11.0,11.0
2026-03-26,11.0,11.0,11.0
2026-03-25,11.0,11.0,11.0
2026-03-24,11.0,11.0,11.0
2026-03-23,11.0,11.0,11.0
2026-03-20,11.0,11.0,11.0
2026-03-19,11.0,11.0,11.0
2026-03-18,11.0,11.0,11.0
2026-03-17,11.0,11.0,11.0
2026-03-16,11.0,11.0,11.0
2026-03-13,11.0,11.0,11.0
2026-03-12,11.0,11.0,11.0
2026-03-11,11.0,11.0,11.0
2026-03-10,11.0,11.0,11.0
2026-03-09,11.0,11.0,11.0
2026-03-06,11.0,11.0,11.0
2026-03-05,11.0,11.0,11.0
2026-03-04,11.0,11.0,11.0
2026-03-03,11.0,11.0,11.0
2026-03-02,11.0,11.0,11.0
2026-02-28,11.0,11.0,11.0
2026-02-27,11.0,11.0,11.0
2026-02-26,11.0,11.0,11.0
2026-02-25,11.0,11.0,11.0
2026-02-24,11.0,11.0,11.0
2026-02-14,11.0,11.0,11.0
2026-02-13,11.0,11.0,11.0
2026-02-12,11.0,11.0,11.0
2026-02-11,11.0,11.0,11.0
2026-02-10,11.0,11.0,11.0
2026-02-09,10.0,10.0,10.0
2026-02-06,10.0,10.0,10.0
2026-02-05,10.0,10.0,10.0
2026-02-04,10.0,10.0,10.0
2026-02-03,10.0,10.0,10.0
2026-02-02,10.0,10.0,10.0
2026-01-30,10.0,10.0,10.0
2026-01-29,10.0,10.0,10.0
2026-01-28,10.0,10.0,10.0
2026-01-27,10.0,10.0,10.0
2026-01-26,10.0,10.0,10.0
2026-01-23,9.0,9.0,10.0
2026-01-22,9.0,9.0,9.0
2026-01-21,9.0,9.0,9.0
2026-01-20,9.0,9.0,9.0
2026-01-19,8.5,8.5,8.5
2026-01-16,8.0,8.0,8.5
2026-01-15,8.0,8.0,8.0
2026-01-14,8.0,8.0,8.0
2026-01-13,8.0,8.0,8.0
2026-01-12,8.0,8.0,8.0
2026-01-09,8.0,8.0,8.0
2026-01-08,8.0,8.0,8.0
2026-01-07,8.0,8.0,8.0
2026-01-06,8.0,8.0,8.0
2026-01-05,8.0,8.0,8.0
2025-12-31,8.0,8.0,8.0
2025-12-30,8.0,8.0,8.0
2025-12-29,8.0,8.0,8.0
