date,low,open,close
2026-06-23,378.0,385.0,380.0
2026-06-16,378.0,385.0,380.0
2026-06-09,378.0,385.0,380.0
2026-06-02,378.0,385.0,380.0
2026-05-26,378.0,385.0,380.0
2026-05-19,378.0,385.0,380.0
2026-05-12,378.0,385.0,380.0
2026-04-28,378.0,385.0,380.0
2026-04-21,378.0,385.0,380.0
2026-04-14,378.0,385.0,380.0
2026-04-07,378.0,385.0,380.0
2026-03-31,378.0,385.0,380.0
2026-03-24,378.0,385.0,380.0
2026-03-17,378.0,385.0,380.0
2026-03-10,378.0,385.0,380.0
2026-03-03,378.0,385.0,380.0
2026-02-24,378.0,385.0,380.0
2026-02-10,378.0,385.0,380.0
2026-02-03,378.0,385.0,380.0
2026-01-27,378.0,385.0,380.0
2026-01-20,358.0,365.0,360.0
2026-01-13,298.0,305.0,300.0
2026-01-06,283.0,290.0,285.0
2025-12-30,246.0,253.0,248.0
