date,low,open,close
2026-06-23,82.0,84.7,83.0
2026-06-16,82.0,84.7,83.0
2026-06-09,77.0,79.7,78.0
2026-06-02,77.0,79.7,78.0
2026-05-26,77.0,79.7,78.0
2026-05-19,78.0,80.7,79.0
2026-05-12,78.0,80.7,79.0
2026-04-28,82.0,84.7,83.0
2026-04-21,82.0,84.7,83.0
2026-04-14,82.0,84.7,83.0
2026-04-07,82.0,84.7,83.0
2026-03-31,82.0,84.7,83.0
2026-03-24,82.0,84.7,83.0
2026-03-17,82.0,84.7,83.0
2026-03-10,82.0,84.7,83.0
2026-03-03,80.0,82.7,81.0
2026-02-24,63.0,65.7,64.0
2026-02-10,63.0,65.7,64.0
2026-02-03,63.0,65.7,64.0
2026-01-27,60.0,62.7,61.0
2026-01-20,56.0,58.7,57.0
2026-01-13,54.0,56.7,55.0
2026-01-06,49.0,51.7,50.0
2025-12-30,49.0,51.7,50.0
