date,low,open,close
2026-06-23,40.0,70.0,50.0
2026-06-16,40.0,70.0,50.0
2026-06-09,40.0,70.0,50.0
2026-06-02,40.0,70.0,50.0
2026-05-26,40.0,70.0,50.0
2026-05-19,40.0,70.0,50.0
2026-05-12,40.0,70.0,50.0
2026-04-28,40.0,70.0,50.0
2026-04-21,40.0,70.0,50.0
2026-04-14,40.0,70.0,50.0
2026-04-07,40.0,80.0,50.0
2026-03-31,40.0,80.0,50.0
2026-03-24,40.0,80.0,50.0
2026-03-17,40.0,80.0,50.0
2026-03-10,40.0,80.0,50.0
2026-03-03,40.0,80.0,50.0
2026-02-24,40.0,80.0,50.0
2026-02-10,40.0,80.0,50.0
2026-02-03,40.0,80.0,50.0
2026-01-27,40.0,80.0,50.0
2026-01-20,40.0,80.0,50.0
2026-01-13,40.0,80.0,50.0
2026-01-06,28.0,36.0,30.0
2025-12-30,28.0,36.0,30.0
