date,low,open,close
2026-06-23,16.0,28.0,18.0
2026-06-16,16.0,28.0,18.0
2026-06-09,16.0,28.0,18.0
2026-06-02,16.0,28.0,18.0
2026-05-26,16.0,28.0,18.0
2026-05-19,16.0,28.0,18.0
2026-05-12,16.0,28.0,18.0
2026-04-28,11.0,25.0,15.0
2026-04-21,11.0,25.0,15.0
2026-04-14,11.0,25.0,15.0
2026-04-07,11.0,25.0,15.0
2026-03-31,11.0,25.0,15.0
2026-03-24,11.0,25.0,15.0
2026-03-17,11.0,25.0,15.0
2026-03-10,11.0,25.0,15.0
2026-03-03,11.0,25.0,15.0
2026-02-24,11.0,25.0,15.0
2026-02-10,11.0,25.0,15.0
2026-02-03,11.0,25.0,15.0
2026-01-27,11.0,25.0,15.0
2026-01-20,11.0,25.0,15.0
2026-01-13,11.0,25.0,15.0
2026-01-06,10.75,12.2,11.0
2025-12-30,10.75,12.2,11.0
