date,low,open,close
2026-06-23,75.0,86.0,76.0
2026-06-16,75.0,86.0,76.0
2026-06-09,75.0,86.0,76.0
2026-06-02,75.0,86.0,76.0
2026-05-26,75.0,86.0,76.0
2026-05-19,75.0,86.0,76.0
2026-05-12,77.0,88.0,78.0
2026-04-28,79.0,90.0,80.0
2026-04-21,84.0,95.0,85.0
2026-04-14,84.0,95.0,85.0
2026-04-07,89.0,100.0,90.0
2026-03-31,89.0,100.0,90.0
2026-03-24,119.0,130.6,120.0
2026-03-17,119.0,130.6,120.0
2026-03-10,119.0,130.6,120.0
2026-03-03,94.0,105.6,95.0
2026-02-24,94.0,105.6,95.0
2026-02-10,94.0,105.6,95.0
2026-02-03,94.0,105.6,95.0
2026-01-27,94.0,105.6,95.0
2026-01-20,89.0,100.6,90.0
2026-01-13,84.0,95.6,85.0
2026-01-06,84.0,95.6,85.0
2025-12-30,74.0,85.6,75.0
