date,low,open,close
2026-06-23,257.0,264.0,260.0
2026-06-16,257.0,264.0,260.0
2026-06-09,257.0,264.0,260.0
2026-06-02,257.0,264.0,260.0
2026-05-26,257.0,264.0,260.0
2026-05-19,257.0,264.0,260.0
2026-05-12,262.0,269.0,265.0
2026-04-28,267.0,274.0,270.0
2026-04-21,277.0,284.0,280.0
2026-04-14,287.0,294.0,290.0
2026-04-07,292.0,299.0,295.0
2026-03-31,292.0,299.0,295.0
2026-03-24,297.0,304.0,300.0
2026-03-17,297.0,304.0,300.0
2026-03-10,297.0,304.0,300.0
2026-03-03,257.0,264.0,260.0
2026-02-24,257.0,264.0,260.0
2026-02-10,257.0,264.0,260.0
2026-02-03,257.0,264.0,260.0
2026-01-27,257.0,264.0,260.0
2026-01-20,247.0,254.0,250.0
2026-01-13,232.0,239.0,235.0
2026-01-06,232.0,239.0,235.0
2025-12-30,217.0,224.0,220.0
