date,low,open,close
2026-06-23,138.0,141.0,140.0
2026-06-16,138.0,141.0,140.0
2026-06-09,138.0,141.0,140.0
2026-06-02,138.0,141.0,140.0
2026-05-26,138.0,141.0,140.0
2026-05-19,138.0,141.0,140.0
2026-05-12,138.0,141.0,140.0
2026-04-28,143.0,146.0,145.0
2026-04-21,155.0,157.0,156.0
2026-04-14,159.0,161.0,160.0
2026-04-07,164.0,166.0,165.0
2026-03-31,164.0,166.0,165.0
2026-03-24,169.0,171.0,170.0
2026-03-17,169.0,171.0,170.0
2026-03-10,169.0,171.0,170.0
2026-03-03,144.0,146.0,145.0
2026-02-24,144.0,146.0,145.0
2026-02-10,144.0,146.0,145.0
2026-02-03,144.0,146.0,145.0
2026-01-27,144.0,146.0,145.0
2026-01-20,129.0,131.0,130.0
2026-01-13,114.0,116.0,115.0
2026-01-06,114.0,116.0,115.0
2025-12-30,109.0,111.0,110.0
