date,low,open,close
2026-06-23,62.0,66.0,63.0
2026-06-16,62.0,66.0,63.0
2026-06-09,62.0,66.0,63.0
2026-06-02,62.0,66.0,63.0
2026-05-26,62.0,66.0,63.0
2026-05-19,62.0,66.0,63.0
2026-05-12,62.0,66.0,63.0
2026-04-28,62.0,66.0,63.0
2026-04-21,59.0,63.0,60.0
2026-04-14,59.0,63.0,60.0
2026-04-07,59.0,63.0,60.0
2026-03-31,59.0,63.0,60.0
2026-03-24,59.0,63.0,60.0
2026-03-17,59.0,63.0,60.0
2026-03-10,58.0,62.0,59.0
2026-03-03,55.0,59.0,56.0
2026-02-24,54.0,58.0,55.0
2026-02-10,54.0,58.0,55.0
2026-02-03,54.0,58.0,55.0
2026-01-27,52.0,56.0,53.0
2026-01-20,47.0,51.0,48.0
2026-01-13,45.0,49.0,46.0
2026-01-06,44.0,48.0,45.0
2025-12-30,39.0,42.9,40.0
