date,low,open,close
2026-06-23,17.0,18.7,18.0
2026-06-16,17.0,18.7,18.0
2026-06-09,17.0,18.7,18.0
2026-06-02,17.0,18.7,18.0
2026-05-26,17.0,18.7,18.0
2026-05-19,17.0,18.7,18.0
2026-05-12,17.0,18.7,18.0
2026-04-28,17.0,18.7,18.0
2026-04-21,20.0,21.7,21.0
2026-04-14,21.0,22.7,22.0
2026-04-07,22.0,23.7,23.0
2026-03-31,22.0,23.7,23.0
2026-03-24,25.0,26.7,26.0
2026-03-17,25.0,26.7,26.0
2026-03-10,25.0,26.7,26.0
2026-03-03,23.0,24.7,24.0
2026-02-24,23.0,24.7,24.0
2026-02-10,23.0,24.7,24.0
2026-02-03,23.0,24.7,24.0
2026-01-27,23.0,24.7,24.0
2026-01-20,21.0,22.7,22.0
2026-01-13,19.0,20.7,20.0
2026-01-06,19.0,20.7,20.0
2025-12-30,17.0,18.7,18.0
