date,low,open,close
2026-06-23,131.0,137.0,134.0
2026-06-16,131.0,137.0,134.0
2026-06-09,130.0,136.0,133.0
2026-06-02,130.0,136.0,133.0
2026-05-26,130.0,136.0,133.0
2026-05-19,130.0,136.0,133.0
2026-05-12,130.0,136.0,133.0
2026-04-28,133.0,139.0,136.0
2026-04-21,133.0,139.0,136.0
2026-04-14,133.0,139.0,136.0
2026-04-07,133.0,139.0,136.0
2026-03-31,133.0,139.0,136.0
2026-03-24,133.0,139.0,136.0
2026-03-17,133.0,139.0,136.0
2026-03-10,120.0,126.0,123.0
2026-03-03,120.0,126.0,123.0
2026-02-24,102.0,108.0,105.0
2026-02-10,102.0,108.0,105.0
2026-02-03,102.0,108.0,105.0
2026-01-27,95.0,101.0,98.0
2026-01-20,93.0,99.0,96.0
2026-01-13,89.0,95.0,92.0
2026-01-06,74.0,80.0,77.0
2025-12-30,74.0,80.0,77.0
