date,low,open,close
2026-06-25,867.3,867.3,867.3
2026-06-24,867.3,867.3,867.3
2026-06-23,867.3,867.3,867.3
2026-06-22,867.3,867.3,867.3
2026-06-18,867.3,867.3,867.3
2026-06-17,867.3,867.3,867.3
2026-06-16,867.3,867.3,867.3
2026-06-15,867.3,867.3,867.3
2026-06-12,867.3,867.3,867.3
2026-06-11,867.3,867.3,867.3
2026-06-10,867.3,867.3,867.3
2026-06-09,867.3,867.3,867.3
2026-06-08,867.3,867.3,867.3
2026-06-05,867.3,867.3,867.3
2026-06-04,867.3,867.3,867.3
2026-06-03,867.3,867.3,867.3
2026-06-02,867.3,867.3,867.3
2026-06-01,867.3,867.3,867.3
2026-05-29,867.3,867.3,867.3
2026-05-28,867.3,867.3,867.3
2026-05-27,867.3,867.3,867.3
2026-05-26,867.3,867.3,867.3
2026-05-25,867.3,867.3,867.3
2026-05-22,867.3,867.3,867.3
2026-05-21,867.3,867.3,867.3
2026-05-20,867.3,867.3,867.3
2026-05-19,882.8,882.8,882.8
2026-05-18,882.8,882.8,882.8
2026-05-15,882.8,882.8,882.8
2026-05-14,882.8,882.8,882.8
2026-05-13,882.8,882.8,882.8
2026-05-12,882.8,882.8,882.8
2026-05-11,882.8,882.8,882.8
2026-05-09,882.8,882.8,882.8
2026-05-08,882.8,882.8,882.8
2026-05-07,882.8,882.8,882.8
2026-05-06,882.8,882.8,882.8
2026-04-30,882.8,882.8,882.8
2026-04-29,882.8,882.8,882.8
2026-04-28,882.8,882.8,882.8
2026-04-27,882.8,882.8,882.8
2026-04-24,882.8,882.8,882.8
2026-04-23,882.8,882.8,882.8
2026-04-22,882.8,882.8,882.8
2026-04-21,882.8,882.8,882.8
2026-04-20,882.8,882.8,882.8
2026-04-17,882.8,882.8,882.8
2026-04-16,882.8,882.8,882.8
2026-04-15,882.8,882.8,882.8
2026-04-14,882.8,882.8,882.8
2026-04-13,882.8,882.8,882.8
2026-04-10,882.8,882.8,882.8
2026-04-09,882.8,882.8,882.8
2026-04-08,882.8,882.8,882.8
2026-04-07,882.8,882.8,882.8
2026-04-03,882.8,882.8,882.8
2026-04-02,882.8,882.8,882.8
2026-04-01,882.8,882.8,882.8
2026-03-31,882.8,882.8,882.8
2026-03-30,882.8,882.8,882.8
2026-03-27,882.8,882.8,882.8
2026-03-26,882.8,882.8,882.8
2026-03-25,882.8,882.8,882.8
2026-03-24,882.8,882.8,882.8
2026-03-23,882.8,882.8,882.8
2026-03-20,882.8,882.8,882.8
2026-03-19,882.8,882.8,882.8
2026-03-18,882.8,882.8,882.8
2026-03-17,882.8,882.8,882.8
2026-03-16,882.8,882.8,882.8
2026-03-13,882.8,882.8,882.8
2026-03-12,882.8,882.8,882.8
2026-03-11,882.8,882.8,882.8
2026-03-10,882.8,882.8,882.8
2026-03-09,882.8,882.8,882.8
2026-03-06,771.8,771.8,771.8
2026-03-05,730.8,730.8,730.8
2026-03-04,730.8,730.8,730.8
2026-03-03,730.8,730.8,730.8
2026-03-02,730.8,730.8,730.8
2026-02-28,730.8,730.8,730.8
2026-02-27,730.8,730.8,730.8
2026-02-26,730.8,730.8,730.8
2026-02-25,730.8,730.8,730.8
2026-02-24,730.8,730.8,730.8
2026-02-14,730.8,730.8,730.8
2026-02-13,730.8,730.8,730.8
2026-02-12,730.8,730.8,730.8
2026-02-11,730.8,730.8,730.8
2026-02-10,730.8,730.8,730.8
2026-02-09,730.8,730.8,730.8
2026-02-06,716.5,716.5,730.8
2026-02-05,716.5,716.5,716.5
2026-02-04,716.5,716.5,716.5
2026-02-03,716.5,716.5,716.5
2026-02-02,716.5,716.5,716.5
2026-01-30,716.5,716.5,716.5
2026-01-29,716.5,716.5,716.5
2026-01-28,716.5,716.5,716.5
2026-01-27,716.5,716.5,716.5
2026-01-26,716.5,716.5,716.5
2026-01-23,716.5,716.5,716.5
2026-01-22,716.5,716.5,716.5
2026-01-21,716.5,716.5,716.5
2026-01-20,609.0,609.0,670.0
2026-01-19,609.0,609.0,609.0
2026-01-16,609.0,609.0,609.0
2026-01-15,609.0,609.0,609.0
2026-01-14,609.0,609.0,609.0
2026-01-13,609.0,609.0,609.0
2026-01-12,609.0,609.0,609.0
2026-01-09,609.0,609.0,609.0
2026-01-08,609.0,609.0,609.0
2026-01-07,578.0,578.0,578.0
2026-01-06,578.0,578.0,578.0
2026-01-05,548.0,548.0,548.0
2026-01-04,548.0,548.0,548.0
2025-12-31,548.0,548.0,548.0
2025-12-30,548.0,548.0,548.0
2025-12-29,548.0,548.0,548.0
