date,low,open,close
2026-06-23,36.0,43.0,38.0
2026-06-16,36.0,43.0,38.0
2026-06-09,36.0,43.0,38.0
2026-06-02,36.0,43.0,38.0
2026-05-26,36.0,43.0,38.0
2026-05-19,36.0,43.0,38.0
2026-05-12,36.0,43.0,38.0
2026-04-28,38.0,45.0,40.0
2026-04-21,40.0,47.0,42.0
2026-04-14,42.0,49.0,44.0
2026-04-07,43.0,50.0,45.0
2026-03-31,43.0,50.0,45.0
2026-03-24,58.0,65.0,60.0
2026-03-17,58.0,65.0,60.0
2026-03-10,58.0,65.0,60.0
2026-03-03,48.0,55.0,50.0
2026-02-24,48.0,55.0,50.0
2026-02-10,48.0,55.0,50.0
2026-02-03,48.0,55.0,50.0
2026-01-27,48.0,55.0,50.0
2026-01-20,45.0,52.0,47.0
2026-01-13,43.0,50.0,45.0
2026-01-06,43.0,50.0,45.0
2025-12-30,36.0,42.8,38.0
