date,low,open,close
2026-06-23,83.0,86.0,84.0
2026-06-16,83.0,86.0,84.0
2026-06-09,83.0,86.0,84.0
2026-06-02,83.0,86.0,84.0
2026-05-26,83.0,86.0,84.0
2026-05-19,83.0,86.0,84.0
2026-05-12,84.0,87.0,85.0
2026-04-28,87.0,89.0,88.0
2026-04-21,92.0,94.0,93.0
2026-04-14,94.0,96.0,95.0
2026-04-07,97.0,99.0,98.0
2026-03-31,97.0,99.0,98.0
2026-03-24,99.0,101.0,100.0
2026-03-17,99.0,101.0,100.0
2026-03-10,99.0,101.0,100.0
2026-03-03,87.0,89.0,88.0
2026-02-24,87.0,89.0,88.0
2026-02-10,87.0,89.0,88.0
2026-02-03,87.0,89.0,88.0
2026-01-27,87.0,89.0,88.0
2026-01-20,79.0,81.0,80.0
2026-01-13,67.0,69.0,68.0
2026-01-06,67.0,69.0,68.0
2025-12-30,61.0,63.0,62.0
