date,low,open,close
2026-06-26,,,88.5
2026-06-25,,,88.5
2026-06-24,,,88.5
2026-06-23,,,88.5
2026-06-22,,,88.5
2026-06-18,,,88.5
2026-06-17,,,88.5
2026-06-16,,,88.5
2026-06-15,,,88.5
2026-06-12,,,88.5
2026-06-11,,,88.5
2026-06-10,,,88.5
2026-06-09,,,88.5
2026-06-08,,,88.5
2026-06-05,,,88.5
2026-06-04,,,88.5
2026-06-03,,,88.5
2026-06-02,,,88.5
2026-06-01,,,88.5
2026-05-29,,,88.5
2026-05-28,,,88.5
2026-05-27,,,88.5
2026-05-26,,,88.5
2026-05-25,,,88.5
2026-05-22,,,88.5
2026-05-21,,,88.5
2026-05-20,,,88.5
2026-05-19,,,88.5
2026-05-18,,,89.0
2026-05-15,,,89.0
2026-05-14,,,89.0
2026-05-13,,,89.0
2026-05-12,,,89.0
2026-05-11,,,89.0
2026-05-09,,,89.0
2026-05-08,,,89.0
2026-05-07,,,89.0
2026-05-06,,,89.0
2026-04-30,,,89.0
2026-04-29,,,89.0
2026-04-28,,,89.0
2026-04-27,,,89.0
2026-04-24,,,89.0
2026-04-23,,,89.0
2026-04-22,,,90.0
2026-04-21,,,90.0
2026-04-20,,,90.0
2026-04-17,,,90.0
2026-04-16,,,90.0
2026-04-15,,,90.0
2026-04-14,,,92.4
2026-04-13,,,92.4
2026-04-10,,,92.4
2026-04-09,,,92.4
2026-04-08,,,92.4
2026-04-07,,,92.4
2026-04-03,,,92.4
2026-04-02,,,92.4
2026-04-01,,,92.4
2026-03-31,,,92.4
2026-03-30,,,92.4
2026-03-27,,,92.4
2026-03-26,,,92.4
2026-03-25,,,92.4
2026-03-24,,,92.4
2026-03-23,,,92.4
2026-03-20,,,92.4
2026-03-19,,,92.4
2026-03-18,,,92.4
2026-03-17,,,92.4
2026-03-16,,,92.4
2026-03-13,,,92.4
2026-03-12,,,89.6
2026-03-11,,,89.6
2026-03-10,,,86.1
2026-03-09,,,86.1
2026-03-06,,,72.1
2026-03-05,,,60.2
2026-03-04,,,60.2
2026-03-03,,,60.2
2026-03-02,,,60.2
2026-02-28,,,60.2
2026-02-27,,,60.2
2026-02-26,,,60.2
2026-02-25,,,60.2
2026-02-24,,,60.2
2026-02-14,,,60.2
2026-02-13,,,60.2
2026-02-12,,,60.2
2026-02-11,,,60.2
2026-02-10,,,60.2
2026-02-09,,,60.2
2026-02-06,,,60.2
2026-02-05,,,60.2
2026-02-04,,,60.2
2026-02-03,,,60.2
2026-02-02,,,60.2
2026-01-30,,,60.2
2026-01-29,,,60.2
2026-01-28,,,60.2
2026-01-27,,,60.2
2026-01-26,,,60.2
2026-01-23,,,60.2
2026-01-22,,,60.2
2026-01-21,,,59.5
2026-01-20,,,59.5
2026-01-19,,,59.5
2026-01-16,,,59.5
2026-01-15,,,59.5
2026-01-14,,,56.6
2026-01-13,,,56.6
2026-01-12,,,56.6
2026-01-09,,,56.6
2026-01-08,,,56.6
2026-01-07,,,56.6
2026-01-06,,,56.6
2026-01-05,,,55.3
2026-01-04,,,55.3
2025-12-31,,,55.3
2025-12-30,,,55.3
2025-12-29,,,55.3
