date,low,open,close
2026-06-23,152.0,157.0,155.0
2026-06-16,152.0,157.0,155.0
2026-06-09,150.0,155.0,153.0
2026-06-02,149.0,154.0,152.0
2026-05-26,149.0,154.0,152.0
2026-05-19,149.0,154.0,152.0
2026-05-12,157.0,162.0,160.0
2026-04-28,164.0,169.0,167.0
2026-04-21,164.0,169.0,167.0
2026-04-14,167.0,172.0,170.0
2026-04-07,177.0,182.0,180.0
2026-03-31,177.0,182.0,180.0
2026-03-24,197.0,202.0,200.0
2026-03-17,197.0,202.0,200.0
2026-03-10,197.0,202.0,200.0
2026-03-03,177.0,182.0,180.0
2026-02-24,177.0,182.0,180.0
2026-02-10,177.0,182.0,180.0
2026-02-03,177.0,182.0,180.0
2026-01-27,177.0,182.0,180.0
2026-01-20,167.0,172.0,170.0
2026-01-13,143.0,147.0,145.0
2026-01-06,143.0,147.0,145.0
2025-12-30,118.0,122.0,120.0
