date,low,open,close
2026-06-23,106.5,110.0,109.0
2026-06-16,106.5,110.0,109.0
2026-06-09,105.5,109.0,108.0
2026-06-02,105.5,109.0,108.0
2026-05-26,105.5,109.0,108.0
2026-05-19,107.5,111.0,110.0
2026-05-12,107.5,111.0,110.0
2026-04-28,110.5,114.0,113.0
2026-04-21,110.5,114.0,113.0
2026-04-14,110.5,114.0,113.0
2026-04-07,110.5,114.0,113.0
2026-03-31,110.5,114.0,113.0
2026-03-24,110.5,114.0,113.0
2026-03-17,110.5,114.0,113.0
2026-03-10,101.5,105.0,104.0
2026-03-03,101.5,105.0,104.0
2026-02-24,88.5,92.0,91.0
2026-02-10,88.5,92.0,91.0
2026-02-03,88.5,92.0,91.0
2026-01-27,85.5,89.0,88.0
2026-01-20,83.5,87.0,86.0
2026-01-13,79.5,83.0,82.0
2026-01-06,66.5,70.0,69.0
2025-12-30,66.5,70.0,69.0
