date,low,open,close
2026-06-23,89.1,92.2,91.0
2026-06-16,89.1,92.2,91.0
2026-06-09,86.1,89.2,88.0
2026-06-02,86.1,89.2,88.0
2026-05-26,86.1,89.2,88.0
2026-05-19,87.1,90.2,89.0
2026-05-12,87.1,90.2,89.0
2026-04-28,91.1,94.2,93.0
2026-04-21,91.1,94.2,93.0
2026-04-14,91.1,94.2,93.0
2026-04-07,91.1,94.2,93.0
2026-03-31,91.1,94.2,93.0
2026-03-24,91.1,94.2,93.0
2026-03-17,91.1,94.2,93.0
2026-03-10,89.1,92.2,91.0
2026-03-03,89.1,92.2,91.0
2026-02-24,73.1,76.2,75.0
2026-02-10,73.1,76.2,75.0
2026-02-03,73.1,76.2,75.0
2026-01-27,70.1,73.2,72.0
2026-01-20,68.1,71.2,70.0
2026-01-13,64.1,67.2,66.0
2026-01-06,59.1,62.2,61.0
2025-12-30,59.1,62.2,61.0
