date,low,open,close
2026-06-23,148.0,152.0,150.0
2026-06-16,148.0,152.0,150.0
2026-06-09,147.0,151.0,149.0
2026-06-02,146.0,150.0,148.0
2026-05-26,146.0,150.0,148.0
2026-05-19,146.0,150.0,148.0
2026-05-12,148.0,152.0,150.0
2026-04-28,153.0,157.0,155.0
2026-04-21,158.0,162.0,160.0
2026-04-14,163.0,167.0,165.0
2026-04-07,168.0,172.0,170.0
2026-03-31,168.0,172.0,170.0
2026-03-24,188.0,192.0,190.0
2026-03-17,188.0,192.0,190.0
2026-03-10,188.0,192.0,190.0
2026-03-03,168.0,172.0,170.0
2026-02-24,168.0,172.0,170.0
2026-02-10,168.0,172.0,170.0
2026-02-03,168.0,172.0,170.0
2026-01-27,168.0,172.0,170.0
2026-01-20,158.0,162.0,160.0
2026-01-13,123.0,127.0,125.0
2026-01-06,123.0,127.0,125.0
2025-12-30,108.0,112.0,110.0
