date,low,open,close
2026-06-23,264.0,270.0,267.0
2026-06-16,264.0,270.0,267.0
2026-06-09,262.0,268.0,265.0
2026-06-02,262.0,268.0,265.0
2026-05-26,262.0,268.0,265.0
2026-05-19,262.0,268.0,265.0
2026-05-12,267.0,273.0,270.0
2026-04-28,272.0,278.0,275.0
2026-04-21,277.0,283.0,280.0
2026-04-14,287.0,293.0,290.0
2026-04-07,297.0,303.0,300.0
2026-03-31,297.0,303.0,300.0
2026-03-24,327.0,333.0,330.0
2026-03-17,327.0,333.0,330.0
2026-03-10,327.0,333.0,330.0
2026-03-03,277.0,283.0,280.0
2026-02-24,277.0,283.0,280.0
2026-02-10,277.0,283.0,280.0
2026-02-03,277.0,283.0,280.0
2026-01-27,277.0,283.0,280.0
2026-01-20,267.0,273.0,270.0
2026-01-13,247.0,253.0,250.0
2026-01-06,247.0,253.0,250.0
2025-12-30,227.0,233.0,230.0
