date,low,open,close
2026-06-23,40.0,42.0,41.0
2026-06-16,40.0,42.0,41.0
2026-06-09,40.0,42.0,41.0
2026-06-02,40.0,42.0,41.0
2026-05-26,40.0,42.0,41.0
2026-05-19,40.0,42.0,41.0
2026-05-12,40.0,42.0,41.0
2026-04-28,41.0,43.0,42.0
2026-04-21,48.0,50.0,49.0
2026-04-14,49.0,51.0,50.0
2026-04-07,51.0,53.0,52.0
2026-03-31,51.0,53.0,52.0
2026-03-24,54.0,56.0,55.0
2026-03-17,54.0,56.0,55.0
2026-03-10,54.0,56.0,55.0
2026-03-03,46.0,48.0,47.0
2026-02-24,46.0,48.0,47.0
2026-02-10,46.0,48.0,47.0
2026-02-03,46.0,48.0,47.0
2026-01-27,46.0,48.0,47.0
2026-01-20,41.0,43.0,42.0
2026-01-13,37.0,39.0,38.0
2026-01-06,37.0,39.0,38.0
2025-12-30,34.0,36.0,35.0
