date,low,open,close
2026-06-23,66.5,69.0,68.0
2026-06-16,66.5,69.0,68.0
2026-06-09,66.5,69.0,68.0
2026-06-02,66.5,69.0,68.0
2026-05-26,66.5,69.0,68.0
2026-05-19,66.5,69.0,68.0
2026-05-12,66.5,69.0,68.0
2026-04-28,66.5,69.0,68.0
2026-04-21,60.5,63.0,62.0
2026-04-14,60.5,63.0,62.0
2026-04-07,60.5,63.0,62.0
2026-03-31,60.5,63.0,62.0
2026-03-24,60.5,63.0,62.0
2026-03-17,60.5,63.0,62.0
2026-03-10,58.5,61.0,60.0
2026-03-03,56.5,59.0,58.0
2026-02-24,55.5,58.0,57.0
2026-02-10,55.5,58.0,57.0
2026-02-03,55.5,58.0,57.0
2026-01-27,53.5,56.0,55.0
2026-01-20,48.5,51.0,50.0
2026-01-13,44.5,47.0,46.0
2026-01-06,44.5,47.0,46.0
2025-12-30,40.5,43.0,42.0
