date,low,open,close
2026-06-23,6.9,7.9,7.4
2026-06-16,6.9,7.9,7.4
2026-06-09,6.9,7.9,7.4
2026-06-02,6.9,7.9,7.4
2026-05-26,6.9,7.9,7.4
2026-05-19,6.9,7.9,7.4
2026-05-12,6.9,7.9,7.4
2026-04-28,6.9,7.9,7.4
2026-04-21,6.9,7.9,7.4
2026-04-14,6.9,7.9,7.4
2026-04-07,6.9,7.9,7.4
2026-03-31,6.9,7.9,7.4
2026-03-24,6.9,7.9,7.4
2026-03-17,6.9,7.9,7.4
2026-03-10,6.9,7.9,7.4
2026-03-03,6.3,7.3,6.8
2026-02-24,6.3,7.3,6.8
2026-02-10,6.3,7.3,6.8
2026-02-03,6.0,7.0,6.5
2026-01-27,6.0,7.0,6.5
2026-01-20,6.0,7.0,6.5
2026-01-13,6.0,7.0,6.5
2026-01-06,5.6,7.0,6.0
2025-12-30,5.6,7.0,6.0
