date,low,open,close
2026-06-23,110.0,117.0,115.0
2026-06-16,110.0,117.0,115.0
2026-06-09,110.0,117.0,115.0
2026-06-02,110.0,117.0,115.0
2026-05-26,110.0,117.0,115.0
2026-05-19,110.0,117.0,115.0
2026-05-12,110.0,117.0,115.0
2026-04-28,110.0,117.0,115.0
2026-04-21,110.0,117.0,115.0
2026-04-14,110.0,117.0,115.0
2026-04-07,110.0,117.0,115.0
2026-03-31,110.0,117.0,115.0
2026-03-24,110.0,117.0,115.0
2026-03-17,110.0,117.0,115.0
2026-03-10,103.0,110.0,108.0
2026-03-03,97.0,104.0,102.0
2026-02-24,95.0,102.0,100.0
2026-02-10,95.0,102.0,100.0
2026-02-03,95.0,102.0,100.0
2026-01-27,85.0,92.0,90.0
2026-01-20,80.0,87.0,85.0
2026-01-13,70.0,77.0,75.0
2026-01-06,67.0,74.0,72.0
2025-12-30,55.0,62.0,60.0
