date,low,open,close
2026-06-23,33.0,37.0,35.0
2026-06-16,33.0,37.0,35.0
2026-06-09,33.0,37.0,35.0
2026-06-02,33.0,37.0,35.0
2026-05-26,33.0,37.0,35.0
2026-05-19,33.0,37.0,35.0
2026-05-12,33.0,37.0,35.0
2026-04-28,28.0,32.0,30.0
2026-04-21,28.0,32.0,30.0
2026-04-14,28.0,32.0,30.0
2026-04-07,28.0,32.0,30.0
2026-03-31,28.0,32.0,30.0
2026-03-24,28.0,32.0,30.0
2026-03-17,28.0,32.0,30.0
2026-03-10,28.0,32.0,30.0
2026-03-03,28.0,32.0,30.0
2026-02-24,28.0,32.0,30.0
2026-02-10,28.0,32.0,30.0
2026-02-03,28.0,32.0,30.0
2026-01-27,28.0,32.0,30.0
2026-01-20,28.0,32.0,30.0
2026-01-13,28.0,32.0,30.0
2026-01-06,23.9,28.0,24.0
2025-12-30,23.9,28.0,24.0
