date,low,open,close
2026-06-23,158.0,173.0,163.0
2026-06-16,158.0,173.0,163.0
2026-06-09,158.0,173.0,163.0
2026-06-02,158.0,173.0,163.0
2026-05-26,158.0,173.0,163.0
2026-05-19,158.0,173.0,163.0
2026-05-12,160.0,175.0,165.0
2026-04-28,165.0,180.0,170.0
2026-04-21,170.0,185.0,175.0
2026-04-14,175.0,190.0,180.0
2026-04-07,195.0,210.0,200.0
2026-03-31,195.0,210.0,200.0
2026-03-24,215.0,230.0,220.0
2026-03-17,215.0,230.0,220.0
2026-03-10,215.0,230.0,220.0
2026-03-03,165.0,180.0,170.0
2026-02-24,165.0,180.0,170.0
2026-02-10,165.0,180.0,170.0
2026-02-03,165.0,180.0,170.0
2026-01-27,165.0,180.0,170.0
2026-01-20,155.0,170.0,160.0
2026-01-13,135.0,150.0,140.0
2026-01-06,135.0,150.0,140.0
2025-12-30,120.0,135.0,125.0
