date,low,open,close
2026-06-23,56.1,60.5,58.0
2026-06-16,56.1,60.5,58.0
2026-06-09,56.1,60.5,58.0
2026-06-02,56.1,60.5,58.0
2026-05-26,56.1,60.5,58.0
2026-05-19,56.1,60.5,58.0
2026-05-12,56.1,60.5,58.0
2026-04-28,56.1,60.5,58.0
2026-04-21,56.1,60.5,58.0
2026-04-14,56.1,60.5,58.0
2026-04-07,56.1,60.5,58.0
2026-03-31,56.1,60.5,58.0
2026-03-24,56.1,60.5,58.0
2026-03-17,56.1,60.5,58.0
2026-03-10,56.1,60.5,58.0
2026-03-03,56.1,60.5,58.0
2026-02-24,48.1,52.5,50.0
2026-02-10,48.1,52.5,50.0
2026-02-03,48.1,52.5,50.0
2026-01-27,48.1,52.5,50.0
2026-01-20,42.1,46.5,44.0
2026-01-13,38.1,42.5,40.0
2026-01-06,38.1,42.5,40.0
2025-12-30,38.1,42.5,40.0
