date,low,open,close
2026-06-23,22.6,24.3,23.0
2026-06-16,22.6,24.3,23.0
2026-06-09,22.6,24.3,23.0
2026-06-02,22.6,24.3,23.0
2026-05-26,22.6,24.3,23.0
2026-05-19,22.6,24.3,23.0
2026-05-12,22.6,24.3,23.0
2026-04-28,22.6,24.3,23.0
2026-04-21,22.6,24.3,23.0
2026-04-14,22.6,24.3,23.0
2026-04-07,22.6,24.3,23.0
2026-03-31,22.6,24.3,23.0
2026-03-24,22.6,24.3,23.0
2026-03-17,22.6,24.3,23.0
2026-03-10,22.6,24.3,23.0
2026-03-03,21.6,23.3,22.0
2026-02-24,16.6,18.3,17.0
2026-02-10,16.6,18.3,17.0
2026-02-03,16.6,18.3,17.0
2026-01-27,16.6,18.3,17.0
2026-01-20,14.1,15.8,14.5
2026-01-13,12.1,13.8,12.5
2026-01-06,12.1,13.8,12.5
2025-12-30,11.1,12.8,11.5
