date,low,open,close
2026-06-23,52.0,62.0,58.0
2026-06-16,52.0,62.0,58.0
2026-06-09,49.0,59.0,55.0
2026-06-02,49.0,59.0,55.0
2026-05-26,49.0,59.0,55.0
2026-05-19,50.0,60.0,56.0
2026-05-12,50.0,60.0,56.0
2026-04-28,59.0,61.5,60.0
2026-04-21,59.0,61.5,60.0
2026-04-14,59.0,61.5,60.0
2026-04-07,59.0,61.5,60.0
2026-03-31,59.0,61.5,60.0
2026-03-24,59.0,61.5,60.0
2026-03-17,59.0,61.5,60.0
2026-03-10,57.0,59.5,58.0
2026-03-03,57.0,59.5,58.0
2026-02-24,44.0,46.5,45.0
2026-02-10,44.0,46.5,45.0
2026-02-03,44.0,46.5,45.0
2026-01-27,41.0,43.5,42.0
2026-01-20,41.0,43.5,42.0
2026-01-13,41.0,43.5,42.0
2026-01-06,36.0,38.5,37.0
2025-12-30,36.0,38.5,37.0
